ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion
5,COAHUILA,1,ACUÑA,PAN,1639,49428,21,1883,51332,142274,1639
5,COAHUILA,1,ACUÑA,PRI,19763,49428,21,1883,51332,142274,19763
5,COAHUILA,1,ACUÑA,PRD,471,49428,21,1883,51332,142274,471
5,COAHUILA,1,ACUÑA,PT,409,49428,21,1883,51332,142274,409
5,COAHUILA,1,ACUÑA,PVEM,3035,49428,21,1883,51332,142274,3035
5,COAHUILA,1,ACUÑA,UDC,10075,49428,21,1883,51332,142274,10075
5,COAHUILA,1,ACUÑA,MC,215,49428,21,1883,51332,142274,215
5,COAHUILA,1,ACUÑA,MORENA,11608,49428,21,1883,51332,142274,11608
5,COAHUILA,1,ACUÑA,UNIDOS,1661,49428,21,1883,51332,142274,1661
5,COAHUILA,1,ACUÑA,PRC,209,49428,21,1883,51332,142274,209
5,COAHUILA,1,ACUÑA,EZA-PRO,343,49428,21,1883,51332,142274,343
5,COAHUILA,1,ACUÑA,CAND_IND1,NA,49428,21,1883,51332,142274,0
5,COAHUILA,1,ACUÑA,CAND_IND2,NA,49428,21,1883,51332,142274,0
5,COAHUILA,10,TORREON,PAN,8825,52251,36,1183,53470,118965,8825
5,COAHUILA,10,TORREON,PRI,29569,52251,36,1183,53470,118965,29569
5,COAHUILA,10,TORREON,PRD,578,52251,36,1183,53470,118965,578
5,COAHUILA,10,TORREON,PT,386,52251,36,1183,53470,118965,386
5,COAHUILA,10,TORREON,PVEM,929,52251,36,1183,53470,118965,929
5,COAHUILA,10,TORREON,UDC,262,52251,36,1183,53470,118965,262
5,COAHUILA,10,TORREON,MC,855,52251,36,1183,53470,118965,855
5,COAHUILA,10,TORREON,MORENA,9893,52251,36,1183,53470,118965,9893
5,COAHUILA,10,TORREON,UNIDOS,425,52251,36,1183,53470,118965,425
5,COAHUILA,10,TORREON,PRC,236,52251,36,1183,53470,118965,236
5,COAHUILA,10,TORREON,EZA-PRO,293,52251,36,1183,53470,118965,293
5,COAHUILA,10,TORREON,CAND_IND1,NA,52251,36,1183,53470,118965,0
5,COAHUILA,10,TORREON,CAND_IND2,NA,52251,36,1183,53470,118965,0
5,COAHUILA,11,TORREON,PAN,6810,47262,95,1232,48589,128903,6810
5,COAHUILA,11,TORREON,PRI,25720,47262,95,1232,48589,128903,25720
5,COAHUILA,11,TORREON,PRD,382,47262,95,1232,48589,128903,382
5,COAHUILA,11,TORREON,PT,424,47262,95,1232,48589,128903,424
5,COAHUILA,11,TORREON,PVEM,736,47262,95,1232,48589,128903,736
5,COAHUILA,11,TORREON,UDC,423,47262,95,1232,48589,128903,423
5,COAHUILA,11,TORREON,MC,481,47262,95,1232,48589,128903,481
5,COAHUILA,11,TORREON,MORENA,11248,47262,95,1232,48589,128903,11248
5,COAHUILA,11,TORREON,UNIDOS,380,47262,95,1232,48589,128903,380
5,COAHUILA,11,TORREON,PRC,329,47262,95,1232,48589,128903,329
5,COAHUILA,11,TORREON,EZA-PRO,329,47262,95,1232,48589,128903,329
5,COAHUILA,11,TORREON,CAND_IND1,NA,47262,95,1232,48589,128903,0
5,COAHUILA,11,TORREON,CAND_IND2,NA,47262,95,1232,48589,128903,0
5,COAHUILA,12,RAMOS ARIZPE,PAN,3948,48030,22,1556,49608,131979,3948
5,COAHUILA,12,RAMOS ARIZPE,PRI,25479,48030,22,1556,49608,131979,25479
