ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion
23,QUINTANA ROO,11,COZUMEL,MC,1014,28033,22,1124,29179,69706,1014
23,QUINTANA ROO,11,COZUMEL,MORENA,8642,28033,22,1124,29179,69706,8642
23,QUINTANA ROO,11,COZUMEL,MAS,5195,28033,22,1124,29179,69706,5195
23,QUINTANA ROO,11,COZUMEL,CXQROO,232,28033,22,1124,29179,69706,232
23,QUINTANA ROO,11,COZUMEL,FXMQROO,230,28033,22,1124,29179,69706,230
23,QUINTANA ROO,11,COZUMEL,CAND_IND1,NA,28033,22,1124,29179,69706,0
23,QUINTANA ROO,11,COZUMEL,PAN_PRD_CXQROO,11,28033,22,1124,29179,69706,1714
23,QUINTANA ROO,11,COZUMEL,PAN_PRD,12,28033,22,1124,29179,69706,1483
23,QUINTANA ROO,11,COZUMEL,PAN_CXQROO,8,28033,22,1124,29179,69706,1543
23,QUINTANA ROO,11,COZUMEL,PRD_CXQROO,0,28033,22,1124,29179,69706,400
23,QUINTANA ROO,11,COZUMEL,PVEM_PT_MORENA_FXMQROO,24,28033,22,1124,29179,69706,11463
23,QUINTANA ROO,11,COZUMEL,PVEM_PT_MORENA,24,28033,22,1124,29179,69706,11233
23,QUINTANA ROO,11,COZUMEL,PVEM_PT_FXMQROO,0,28033,22,1124,29179,69706,2797
23,QUINTANA ROO,11,COZUMEL,PVEM_MORENA_FXMQROO,4,28033,22,1124,29179,69706,11095
23,QUINTANA ROO,11,COZUMEL,PT_MORENA_FXMQROO,4,28033,22,1124,29179,69706,9224
23,QUINTANA ROO,11,COZUMEL,PVEM_PT,11,28033,22,1124,29179,69706,2578
23,QUINTANA ROO,11,COZUMEL,PVEM_MORENA,126,28033,22,1124,29179,69706,10987
23,QUINTANA ROO,11,COZUMEL,PVEM_FXMQROO,5,28033,22,1124,29179,69706,2454
23,QUINTANA ROO,11,COZUMEL,PT_MORENA,37,28033,22,1124,29179,69706,9027
23,QUINTANA ROO,11,COZUMEL,PT_FXMQROO,4,28033,22,1124,29179,69706,582
23,QUINTANA ROO,11,COZUMEL,MORENA_FXMQROO,9,28033,22,1124,29179,69706,8881
23,QUINTANA ROO,12,FELIPE C PUERTO,PAN,2089,41186,71,1325,42582,69353,2089
23,QUINTANA ROO,12,FELIPE C PUERTO,PRI,856,41186,71,1325,42582,69353,856
23,QUINTANA ROO,12,FELIPE C PUERTO,PRD,5368,41186,71,1325,42582,69353,5368
23,QUINTANA ROO,12,FELIPE C PUERTO,PVEM,7090,41186,71,1325,42582,69353,7090
23,QUINTANA ROO,12,FELIPE C PUERTO,PT,1651,41186,71,1325,42582,69353,1651
23,QUINTANA ROO,12,FELIPE C PUERTO,MC,2396,41186,71,1325,42582,69353,2396
23,QUINTANA ROO,12,FELIPE C PUERTO,MORENA,13250,41186,71,1325,42582,69353,13250
23,QUINTANA ROO,12,FELIPE C PUERTO,MAS,5788,41186,71,1325,42582,69353,5788
23,QUINTANA ROO,12,FELIPE C PUERTO,CXQROO,545,41186,71,1325,42582,69353,545
23,QUINTANA ROO,12,FELIPE C PUERTO,FXMQROO,1020,41186,71,1325,42582,69353,1020
23,QUINTANA ROO,12,FELIPE C PUERTO,CAND_IND1,NA,41186,71,1325,42582,69353,0
23,QUINTANA ROO,12,FELIPE C PUERTO,PAN_PRD_CXQROO,140,41186,71,1325,42582,69353,8142
23,QUINTANA ROO,12,FELIPE C PUERTO,PAN_PRD,276,41186,71,1325,42582,69353,7733
23,QUINTANA ROO,12,FELIPE C PUERTO,PAN_CXQROO,8,41186,71,1325,42582,69353,2642
23,QUINTANA ROO,12,FELIPE C PUERTO,PRD_CXQROO,10,41186,71,1325,42582,69353,5923
23,QUINTANA ROO,12,FELIPE C PUERTO,PVEM_PT_MORENA_FXMQROO,44,41186,71,1325,42582,69353,23055
23,QUINTANA ROO,12,FELIPE C PUERTO,PVEM_PT_MORENA,30,41186,71,1325,42582,69353,22021
23,QUINTANA ROO,12,FELIPE C PUERTO,PVEM_PT_FXMQROO,9,41186,71,1325,42582,69353,9770
23,QUINTANA ROO,12,FELIPE C PUERTO,PVEM_MORENA_FXMQROO,9,41186,71,1325,42582,69353,21369
23,QUINTANA ROO,12,FELIPE C PUERTO,PT_MORENA_FXMQROO,21,41186,71,1325,42582,69353,15942
23,QUINTANA ROO,12,FELIPE C PUERTO,PVEM_PT,43,41186,71,1325,42582,69353,8784
23,QUINTANA ROO,12,FELIPE C PUERTO,PVEM_MORENA,332,41186,71,1325,42582,69353,20672
23,QUINTANA ROO,12,FELIPE C PUERTO,PVEM_FXMQROO,29,41186,71,1325,42582,69353,8139
23,QUINTANA ROO,12,FELIPE C PUERTO,PT_MORENA,74,41186,71,1325,42582,69353,14975
23,QUINTANA ROO,12,FELIPE C PUERTO,PT_FXMQROO,17,41186,71,1325,42582,69353,2688
23,QUINTANA ROO,12,FELIPE C PUERTO,MORENA_FXMQROO,91,41186,71,1325,42582,69353,14361
23,QUINTANA ROO,13,BACALAR,PAN,2092,40631,27,1419,42077,75548,2092
23,QUINTANA ROO,13,BACALAR,PRI,1554,40631,27,1419,42077,75548,1554
23,QUINTANA ROO,13,BACALAR,PRD,2389,40631,27,1419,42077,75548,2389
23,QUINTANA ROO,13,BACALAR,PVEM,9474,40631,27,1419,42077,75548,9474
23,QUINTANA ROO,13,BACALAR,PT,3059,40631,27,1419,42077,75548,3059
23,QUINTANA ROO,13,BACALAR,MC,1936,40631,27,1419,42077,75548,1936
23,QUINTANA ROO,13,BACALAR,MORENA,12791,40631,27,1419,42077,75548,12791
23,QUINTANA ROO,13,BACALAR,MAS,4285,40631,27,1419,42077,75548,4285
23,QUINTANA ROO,13,BACALAR,CXQROO,640,40631,27,1419,42077,75548,640
23,QUINTANA ROO,13,BACALAR,FXMQROO,935,40631,27,1419,42077,75548,935
23,QUINTANA ROO,13,BACALAR,CAND_IND1,NA,40631,27,1419,42077,75548,0
23,QUINTANA ROO,13,BACALAR,PAN_PRD_CXQROO,87,40631,27,1419,42077,75548,5208
23,QUINTANA ROO,13,BACALAR,PAN_PRD,132,40631,27,1419,42077,75548,4613
23,QUINTANA ROO,13,BACALAR,PAN_CXQROO,11,40631,27,1419,42077,75548,2743
23,QUINTANA ROO,13,BACALAR,PRD_CXQROO,6,40631,27,1419,42077,75548,3035
23,QUINTANA ROO,13,BACALAR,PVEM_PT_MORENA_FXMQROO,66,40631,27,1419,42077,75548,26325
23,QUINTANA ROO,13,BACALAR,PVEM_PT_MORENA,71,40631,27,1419,42077,75548,25395
23,QUINTANA ROO,13,BACALAR,PVEM_PT_FXMQROO,6,40631,27,1419,42077,75548,13474
23,QUINTANA ROO,13,BACALAR,PVEM_MORENA_FXMQROO,3,40631,27,1419,42077,75548,23203
23,QUINTANA ROO,13,BACALAR,PT_MORENA_FXMQROO,10,40631,27,1419,42077,75548,16795
23,QUINTANA ROO,13,BACALAR,PVEM_PT,80,40631,27,1419,42077,75548,12613
23,QUINTANA ROO,13,BACALAR,PVEM_MORENA,752,40631,27,1419,42077,75548,23017
23,QUINTANA ROO,13,BACALAR,PVEM_FXMQROO,62,40631,27,1419,42077,75548,10471
23,QUINTANA ROO,13,BACALAR,PT_MORENA,145,40631,27,1419,42077,75548,15995
23,QUINTANA ROO,13,BACALAR,PT_FXMQROO,11,40631,27,1419,42077,75548,4005
23,QUINTANA ROO,13,BACALAR,MORENA_FXMQROO,34,40631,27,1419,42077,75548,13760
23,QUINTANA ROO,14,CHETUMAL,PAN,3700,36206,119,1546,37871,70095,3700
23,QUINTANA ROO,14,CHETUMAL,PRI,1720,36206,119,1546,37871,70095,1720
23,QUINTANA ROO,14,CHETUMAL,PRD,822,36206,119,1546,37871,70095,822
