ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion
2,BAJA CALIFORNIA,1,MEXICALI,PAN,11630,44884,36,1738,46658,161073,11630
2,BAJA CALIFORNIA,1,MEXICALI,PRI,1899,44884,36,1738,46658,161073,1899
2,BAJA CALIFORNIA,1,MEXICALI,PRD,1429,44884,36,1738,46658,161073,1429
2,BAJA CALIFORNIA,1,MEXICALI,PVEM,1001,44884,36,1738,46658,161073,1001
2,BAJA CALIFORNIA,1,MEXICALI,PT,982,44884,36,1738,46658,161073,982
2,BAJA CALIFORNIA,1,MEXICALI,MC,7511,44884,36,1738,46658,161073,7511
2,BAJA CALIFORNIA,1,MEXICALI,MORENA,18063,44884,36,1738,46658,161073,18063
2,BAJA CALIFORNIA,1,MEXICALI,PVEM_PT_TRANS_MORENA,56,44884,36,1738,46658,161073,21115
2,BAJA CALIFORNIA,1,MEXICALI,PVEM_PT_TRANS,16,44884,36,1738,46658,161073,3012
2,BAJA CALIFORNIA,1,MEXICALI,PVEM_PT_MORENA,5,44884,36,1738,46658,161073,20051
2,BAJA CALIFORNIA,1,MEXICALI,PVEM_TRANS_MORENA,17,44884,36,1738,46658,161073,20094
2,BAJA CALIFORNIA,1,MEXICALI,PT_TRANS_MORENA,48,44884,36,1738,46658,161073,20106
2,BAJA CALIFORNIA,1,MEXICALI,PVEM_PT,9,44884,36,1738,46658,161073,1992
2,BAJA CALIFORNIA,1,MEXICALI,PVEM_TRANS,7,44884,36,1738,46658,161073,2021
2,BAJA CALIFORNIA,1,MEXICALI,PVEM_MORENA,29,44884,36,1738,46658,161073,19093
2,BAJA CALIFORNIA,1,MEXICALI,PT_TRANS,14,44884,36,1738,46658,161073,2009
2,BAJA CALIFORNIA,1,MEXICALI,PT_MORENA,54,44884,36,1738,46658,161073,19099
2,BAJA CALIFORNIA,1,MEXICALI,TRANS_MORENA,138,44884,36,1738,46658,161073,19214
2,BAJA CALIFORNIA,1,MEXICALI,PBC,963,44884,36,1738,46658,161073,963
2,BAJA CALIFORNIA,1,MEXICALI,TRANS,1013,44884,36,1738,46658,161073,1013
2,BAJA CALIFORNIA,1,MEXICALI,CAND_IND1,NA,44884,36,1738,46658,161073,0
2,BAJA CALIFORNIA,1,MEXICALI,CAND_IND2,NA,44884,36,1738,46658,161073,0
2,BAJA CALIFORNIA,10,TIJUANA,PAN,12807,52230,48,1720,53998,171989,12807
2,BAJA CALIFORNIA,10,TIJUANA,PRI,3814,52230,48,1720,53998,171989,3814
2,BAJA CALIFORNIA,10,TIJUANA,PRD,6471,52230,48,1720,53998,171989,6471
2,BAJA CALIFORNIA,10,TIJUANA,PVEM,1268,52230,48,1720,53998,171989,1268
2,BAJA CALIFORNIA,10,TIJUANA,PT,1030,52230,48,1720,53998,171989,1030
2,BAJA CALIFORNIA,10,TIJUANA,MC,2406,52230,48,1720,53998,171989,2406
2,BAJA CALIFORNIA,10,TIJUANA,MORENA,21167,52230,48,1720,53998,171989,21167
2,BAJA CALIFORNIA,10,TIJUANA,PVEM_PT_TRANS_MORENA,62,52230,48,1720,53998,171989,24553
