ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,TXVER,PODEMOS,PC,UC,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,188,TUXPAN,75,201,8785,2284,3007,11685,492,2445,22998,423,1290,77,392,666,1080,3087,311,73,54,9,0,0,0,0,59158,80,1769,61007,115266,
30,VERACRUZ,189,TUXTILLA,2,4,21,13,6,15,25,15,876,10,509,1,6,5,3,18,0,0,0,0,3,0,0,1,1527,0,54,1581,1942,
30,VERACRUZ,190,URSULO GALVAN,23,45,903,1422,116,99,148,1975,6145,1739,273,492,546,244,236,558,73,14,3,0,20,3,6,13,15028,1,356,15385,23917,
30,VERACRUZ,209,UXPANAPA,17,41,2349,203,114,418,682,1741,4058,143,569,113,0,188,502,2119,2,5,1,2,119,37,9,17,13391,7,411,13809,20100,
30,VERACRUZ,191,VEGA DE ALATORRE,21,33,329,793,107,3765,1498,433,2293,79,17,9,15,148,72,63,86,16,3,11,0,0,0,0,9737,1,263,10001,15129,
30,VERACRUZ,192,VERACRUZ,363,808,86336,10495,2205,6226,2478,7823,92453,1626,564,512,1132,1857,2254,3625,1325,503,141,24,992,101,456,454,223582,130,4624,228336,472508,
30,VERACRUZ,193,VILLA ALDAMA,5,15,205,527,32,60,124,484,1645,260,344,248,95,853,773,680,29,15,3,2,5,1,0,3,6388,0,148,6536,8397,
30,VERACRUZ,89,XALAPA,254,645,31208,30644,2971,6416,3431,12835,82652,2227,1737,1500,3297,4154,3111,4443,2367,525,66,70,745,151,385,384,195319,228,6588,202135,383349,
30,VERACRUZ,194,XICO,19,49,1718,5869,614,362,206,609,7560,180,56,23,429,101,482,241,70,40,5,4,39,1,35,6,18650,7,626,19283,27890,
30,VERACRUZ,195,XOXOCOTLA,2,6,885,273,14,36,61,17,963,25,6,38,3,27,336,317,2,2,2,0,4,0,1,3,3015,0,122,3137,4012,
30,VERACRUZ,196,YANGA,14,26,877,1941,77,64,295,494,4202,73,187,192,35,89,50,372,18,9,1,0,6,0,2,7,8991,0,272,9263,13858,
30,VERACRUZ,197,YECUATLA,10,18,279,126,1039,594,1258,1429,1427,46,52,3,1,13,136,2,40,5,16,11,0,0,0,0,6477,0,234,6711,8550,
30,VERACRUZ,198,ZACUALPAN,6,11,1184,64,1621,26,25,27,862,20,6,0,0,35,34,4,2,7,17,4,0,2,1,1,3942,0,166,4108,4810,
30,VERACRUZ,199,ZARAGOZA,4,13,69,744,560,25,33,547,2351,34,173,4,20,211,406,571,5,0,1,1,0,0,0,2,5757,0,114,5871,8463,
30,VERACRUZ,200,ZENTLA,9,18,1986,831,47,586,147,188,1908,61,170,382,2,64,39,203,12,10,3,3,52,17,22,7,6740,1,252,6993,9951,
30,VERACRUZ,201,ZONGOLICA,28,58,1011,635,6346,5813,773,649,3458,825,133,23,122,207,155,67,227,17,84,52,277,164,161,16,21215,5,1156,22376,32856,
30,VERACRUZ,202,ZONTECOMATLAN,8,20,3353,145,14,2583,23,22,730,30,83,1,0,25,31,12,1,4,3,1,0,1,15,0,7077,1,233,7311,9409,
30,VERACRUZ,203,ZOZOCOLCO DE HIDALGO,8,16,3372,183,71,175,32,23,3164,39,15,3,22,77,33,47,77,11,15,0,13,2,4,3,7381,0,126,7507,9557,
