ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PANALZ,PAZ,MDZ,PP,FAM,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA_PANALZ,PT_PVEM_MORENA,PT_PVEM_PANALZ,PT_MORENA_PANALZ,PVEM_MORENA_PANALZ,PT_PVEM,PT_MORENA,PT_PANALZ,PVEM_MORENA,PVEM_PANALZ,MORENA_PANALZ,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,30,MOMAX,6,7,753,352,10,17,22,4,247,53,0,1,1,1,3,3,2,18,7,1,0,2,3,0,0,0,0,0,0,0,0,1,,1501,0,37,1538,2415,https://ieez.org.mx/PE2021/SesionComputo_2021/mun30.jpg
32,ZACATECAS,31,MONTE ESCOBEDO,20,22,389,1375,74,160,148,339,909,207,68,3,8,4,26,11,31,68,23,5,1,8,2,9,2,2,6,11,2,4,2,4,,3901,3,180,4084,7765,https://ieez.org.mx/PE2021/SesionComputo_2021/mun31.jpg
32,ZACATECAS,32,MORELOS,9,18,630,693,467,317,852,576,1495,219,67,29,30,21,175,395,216,42,5,4,5,2,0,0,1,1,3,4,0,4,2,6,,6261,1,239,6501,9553,https://ieez.org.mx/PE2021/SesionComputo_2021/mun32.jpg
32,ZACATECAS,33,MOYAHUA DE ESTRADA,10,11,313,601,67,33,15,4,1117,21,24,4,0,9,17,3,6,63,7,4,1,4,0,0,0,1,0,2,0,0,0,4,,2320,0,97,2417,4443,https://ieez.org.mx/PE2021/SesionComputo_2021/mun33.jpg
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,40,56,1887,2224,287,1948,307,1755,2283,246,42,21,18,36,125,43,347,154,62,9,5,26,34,6,5,3,10,71,6,7,1,3,,11971,1,579,12551,25230,https://ieez.org.mx/PE2021/SesionComputo_2021/mun34.jpg
32,ZACATECAS,35,NORIA DE ANGELES,16,23,60,2295,61,2196,72,37,1245,1161,12,21,35,2,31,11,409,66,5,1,6,0,0,0,0,0,0,0,0,0,0,0,,7726,1,213,7940,11750,https://ieez.org.mx/PE2021/SesionComputo_2021/mun35.jpg
32,ZACATECAS,36,OJOCALIENTE,42,64,870,4867,2845,3600,672,585,2303,521,617,20,29,280,125,34,118,48,22,11,23,37,25,14,10,2,22,100,13,9,1,6,,17829,1,422,18252,30889,https://ieez.org.mx/PE2021/SesionComputo_2021/mun36.jpg
32,ZACATECAS,37,PANUCO,14,27,271,2206,76,2190,159,178,1233,1074,226,12,9,498,52,12,56,102,30,3,14,0,0,0,0,0,0,0,0,0,0,0,,8401,0,315,8716,12764,https://ieez.org.mx/PE2021/SesionComputo_2021/mun37.jpg
32,ZACATECAS,38,PINOS,95,119,314,14426,189,348,335,187,14650,1129,81,78,74,29,396,185,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32846,2,1079,33927,50985,https://ieez.org.mx/PE2021/SesionComputo_2021/mun38.jpg
32,ZACATECAS,39,RIO GRANDE,64,102,1426,3511,5222,4055,985,139,6361,541,496,43,47,50,198,55,332,123,18,24,38,0,0,0,0,0,0,0,0,0,0,0,,23664,11,944,24619,51368,https://ieez.org.mx/PE2021/SesionComputo_2021/mun39.jpg
32,ZACATECAS,40,SAIN ALTO,27,36,317,1867,803,130,2150,59,4213,494,32,33,9,27,40,30,80,87,7,2,6,0,0,0,0,0,0,0,0,0,0,0,,10386,2,301,10689,17148,https://ieez.org.mx/PE2021/SesionComputo_2021/mun40.jpg
32,ZACATECAS,41,EL SALVADOR,6,6,3,56,3,4,763,0,130,77,1,0,91,1,3,2,2,0,0,0,0,,,,,,,,,,,,,1136,0,29,1165,2059,https://ieez.org.mx/PE2021/SesionComputo_2021/mun41.jpg
32,ZACATECAS,42,SOMBRERETE,89,113,5744,6502,226,761,1213,276,5906,3263,741,50,22,367,160,179,237,72,78,9,4,0,0,0,0,0,0,0,0,0,0,0,,25810,5,885,26700,48265,https://ieez.org.mx/PE2021/SesionComputo_2021/mun42.jpg
32,ZACATECAS,43,SUSTICACAN,3,3,25,273,4,20,11,9,258,18,14,5,4,0,8,3,222,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,,883,0,34,917,1369,https://ieez.org.mx/PE2021/SesionComputo_2021/mun43.jpg
32,ZACATECAS,44,TABASCO,21,29,1793,760,165,467,73,428,2795,280,20,25,154,9,143,26,13,115,25,9,1,3,0,1,2,1,0,15,4,1,3,15,,7346,3,250,7599,13020,https://ieez.org.mx/PE2021/SesionComputo_2021/mun44.jpg
32,ZACATECAS,45,TEPECHITLAN,19,21,504,1276,107,59,40,20,1860,65,9,11,3,8,483,13,8,69,15,6,2,2,6,0,0,2,0,5,0,2,0,2,,4577,9,106,4692,7203,https://ieez.org.mx/PE2021/SesionComputo_2021/mun45.jpg
32,ZACATECAS,46,TEPETONGO,17,17,113,1214,93,58,621,19,826,58,24,8,10,3,10,7,53,35,9,1,2,3,1,3,0,0,0,1,0,7,0,2,,3181,1,112,3294,6332,https://ieez.org.mx/PE2021/SesionComputo_2021/mun46.jpg
32,ZACATECAS,47,TEUL DE GONZALEZ ORTEGA,11,14,607,737,63,828,28,49,385,49,2,4,2,3,13,3,0,60,23,2,2,5,5,2,0,0,1,10,0,0,0,0,,2883,1,68,2952,4414,https://ieez.org.mx/PE2021/SesionComputo_2021/mun47.jpg
32,ZACATECAS,48,TLALTENANGO DE SANCHEZ ROMAN,36,51,3408,1146,367,416,255,59,4063,158,352,25,8,30,118,24,31,327,94,22,14,32,40,5,8,7,5,24,2,11,1,14,,11066,8,387,11461,20976,https://ieez.org.mx/PE2021/SesionComputo_2021/mun48.jpg
32,ZACATECAS,49,VALPARAISO,66,75,1027,2663,3748,321,425,108,5451,283,106,60,91,23,466,53,48,327,24,30,49,21,19,11,6,6,14,19,3,22,7,16,,15447,3,547,15997,27473,https://ieez.org.mx/PE2021/SesionComputo_2021/mun49.jpg
32,ZACATECAS,50,VETAGRANDE,8,15,128,1059,119,445,257,57,826,1276,445,25,15,13,136,22,33,19,2,0,2,,,,,,,,,,,,385,5264,1,194,5459,8108,https://ieez.org.mx/PE2021/SesionComputo_2021/mun50.jpg
32,ZACATECAS,51,VILLA DE COS,47,64,1795,4779,124,1247,212,646,4409,2253,18,31,113,97,336,61,323,35,33,6,6,,,,,,,,,,,,,16524,2,427,16953,25397,https://ieez.org.mx/PE2021/SesionComputo_2021/mun51.jpg
32,ZACATECAS,52,VILLA GARCIA,16,25,113,1972,77,1937,53,1084,2270,200,7,17,19,12,50,35,575,84,7,0,3,,,,,,,,,,,,,8515,62,387,8964,12936,https://ieez.org.mx/PE2021/SesionComputo_2021/mun52.jpg
32,ZACATECAS,53,VILLA GONZALEZ ORTEGA,12,19,1851,1075,141,337,124,103,1834,295,13,10,17,6,23,10,151,23,24,8,2,11,2,4,3,9,2,6,7,5,4,23,,6123,1,245,6369,10139,https://ieez.org.mx/PE2021/SesionComputo_2021/mun53.jpg
32,ZACATECAS,54,VILLA HIDALGO,24,30,57,4495,185,2084,124,36,1891,137,10,10,13,7,48,24,82,,,,,,,,,,,,,,,,,9203,0,315,9518,13660,https://ieez.org.mx/PE2021/SesionComputo_2021/mun54.jpg
32,ZACATECAS,55,VILLANUEVA,51,62,750,1330,4171,197,250,93,7377,383,76,44,22,40,787,105,96,214,20,18,26,15,15,8,7,12,8,16,3,16,5,27,,16131,3,461,16595,26223,https://ieez.org.mx/PE2021/SesionComputo_2021/mun55.jpg
32,ZACATECAS,56,ZACATECAS,111,209,5706,11580,1050,2959,2309,2237,17788,877,1086,356,418,816,8163,436,2589,621,95,25,21,130,135,24,24,16,45,117,6,91,17,24,,59761,76,2028,61865,112843,https://ieez.org.mx/PE2021/SesionComputo_2021/mun56.jpg
32,ZACATECAS,57,TRANCOSO,11,25,228,2881,124,1925,89,126,2872,226,171,39,12,23,108,33,117,34,8,3,5,3,2,0,0,0,2,15,2,2,0,1,,9051,2,275,9328,13905,https://ieez.org.mx/PE2021/SesionComputo_2021/mun57.jpg
32,ZACATECAS,58,SANTA MARIA DE LA PAZ,7,8,590,211,46,44,15,107,369,18,2,4,2,9,3,5,10,25,9,2,2,2,1,0,0,0,0,1,0,4,0,2,,1483,3,70,1556,2402,https://ieez.org.mx/PE2021/SesionComputo_2021/mun58.jpg
