ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,MORENA,NAO,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,87,SAN ANDRES HUAXPALTEPEC,3,8,25,550,66,350,720,27,180,878,278,5,29,80,2,8,0,2,0,0,3200,1,85,3286,4563,
20,OAXACA,108,SAN ANTONIO TEPETLAPA,2,5,14,70,39,9,92,6,7,293,6,12,56,6,3,0,1,0,0,0,614,0,33,647,2980,
20,OAXACA,166,SAN JOSE ESTANCIA GRANDE,1,2,7,20,40,141,3,2,3,136,164,2,25,55,0,0,0,0,0,0,598,1,27,626,788,
20,OAXACA,178,SAN JUAN BAUTISTA LO DE SOTO,2,4,10,53,15,7,137,10,215,558,5,9,35,276,0,0,0,0,0,0,1330,0,68,1398,1884,
20,OAXACA,190,SAN JUAN COLORADO,5,13,1031,585,868,54,128,16,19,812,1369,19,112,93,2,5,3,1,0,0,5117,1,191,5309,6727,
20,OAXACA,225,SAN LORENZO,3,7,1096,28,38,12,303,12,17,934,591,21,28,107,8,0,2,0,0,0,3197,0,89,3286,4109,
20,OAXACA,283,SAN MIGUEL TLACAMAMA,2,6,21,726,86,6,18,29,14,681,55,19,381,13,16,2,4,9,0,0,2080,1,79,2160,2726,
20,OAXACA,300,SAN PEDRO ATOYAC,4,7,14,52,383,283,500,6,5,475,674,23,18,2,7,1,0,4,0,0,2447,0,62,2509,3204,
20,OAXACA,310,SAN PEDRO JICAYAN,7,15,28,759,1129,42,68,20,18,1574,1013,38,846,86,3,2,1,5,0,0,5632,0,172,5804,7889,
20,OAXACA,342,SAN SEBASTIAN IXCAPA,4,7,13,912,80,11,58,74,14,1061,26,11,162,9,17,1,0,5,0,0,2454,0,56,2510,3187,
20,OAXACA,367,SANTA CATARINA MECHOACAN,2,5,12,545,126,20,47,8,3,510,20,16,82,9,3,1,0,3,0,0,1405,0,54,1459,3084,
20,OAXACA,407,SANTA MARIA CORTIJO,1,2,11,38,212,16,79,36,1,98,20,4,13,99,11,0,2,4,0,0,644,26,84,754,953,
20,OAXACA,415,SANTA MARIA HUAZOLOTITLAN,5,16,22,1190,847,759,574,20,12,1408,413,23,44,368,3,0,2,1,0,0,5686,0,184,5870,8439,
20,OAXACA,467,SANTIAGO IXTAYUTLA,7,18,37,681,1717,44,191,16,21,934,72,79,421,63,8,2,6,23,0,0,4315,0,221,4536,8669,
20,OAXACA,468,SANTIAGO JAMILTEPEC,13,25,48,4715,100,53,133,55,24,5162,48,85,352,89,7,2,0,5,0,0,10878,1,214,11093,14173,
20,OAXACA,475,SANTIAGO LLANO GRANDE,3,5,6,889,14,5,12,17,1,1070,14,5,45,11,9,0,0,1,0,0,2099,0,45,2144,2797,
20,OAXACA,484,SANTIAGO PINOTEPA NACIONAL,24,69,363,4784,6183,166,752,466,414,9335,495,175,572,691,38,9,12,33,0,0,24488,1,611,25100,39709,
20,OAXACA,487,SANTIAGO TAPEXTLA,2,6,16,129,62,4,9,5,1,193,102,395,121,418,6,0,0,0,0,0,1461,0,110,1571,2293,
20,OAXACA,506,SANTO DOMINGO ARMENTA,2,5,41,444,410,184,5,3,0,276,83,112,51,7,0,0,2,3,0,0,1621,0,75,1696,2406,
20,OAXACA,203,SAN JUAN LACHAO,2,6,22,776,14,13,16,15,14,699,22,18,28,9,13,5,1,4,0,0,1669,0,70,1739,3306,
20,OAXACA,213,SAN JUAN QUIAHIJE,2,5,29,291,39,28,29,14,19,583,4,35,51,15,2,4,0,1,0,0,1144,1,91,1236,3076,
