ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAY,PAN_PRD_NAY,PAN_PRD,PAN_NAY,PRD_NAY,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,37,HUHI,3,8,1564,86,30,34,6,436,567,841,7,1,10,0,0,0,0,0,3582,0,26,3608,4286,
31,YUCATAN,38,HUNUCMA,15,42,4041,2624,107,508,597,806,8335,437,260,114,65,0,0,2,0,0,17896,3,405,18304,25187,
31,YUCATAN,39,IXIL,2,6,1159,787,12,5,5,35,497,212,3,24,3,0,0,0,0,0,2742,1,73,2816,3219,
31,YUCATAN,40,IZAMAL,15,36,5685,6417,56,71,36,75,3370,62,39,175,35,0,0,5,0,0,16026,1,396,16423,21131,
31,YUCATAN,41,KANASIN,20,110,10834,10089,395,729,490,1803,10150,409,238,1079,155,0,0,0,0,0,36371,10,874,37255,74555,
31,YUCATAN,42,KANTUNIL,3,7,1244,675,5,56,10,41,385,7,20,395,452,0,0,1,0,0,3291,0,81,3372,4139,
31,YUCATAN,43,KAUA,1,4,815,357,4,12,1,4,937,3,8,33,2,0,0,0,0,0,2176,0,1,2177,2477,
31,YUCATAN,44,KINCHIL,4,9,1395,1045,517,77,339,256,852,73,15,15,13,0,0,7,0,0,4604,0,123,4727,5374,
31,YUCATAN,45,KOPOMA,2,4,188,516,213,14,22,24,555,17,1,1,127,0,0,13,0,0,1691,0,35,1726,2072,
31,YUCATAN,46,MAMA,2,5,656,904,24,2,5,185,505,11,6,0,6,0,0,1,0,0,2305,,49,2354,2596,
31,YUCATAN,47,MANI,3,8,1773,250,68,16,42,33,859,14,14,10,492,0,0,7,0,0,3578,1,75,3654,4321,
31,YUCATAN,48,MAXCANU,12,31,3343,3451,64,25,29,610,5193,39,403,93,83,0,0,30,0,0,13363,1,238,13602,17439,
31,YUCATAN,49,MAYAPAN,2,5,1116,992,2,21,2,3,39,0,0,0,0,0,0,0,0,0,2175,0,1,2176,2835,
31,YUCATAN,50,MERIDA,472,1242,155151,69209,2946,6084,3321,8670,97483,3626,1591,5142,2144,0,0,803,0,364,356534,267,8900,365701,729750,
31,YUCATAN,51,MOCOCHA,4,5,1043,1028,6,14,4,34,373,5,1,6,49,0,0,6,0,0,2569,0,53,2622,2967,
31,YUCATAN,52,MOTUL,19,47,4136,5034,108,2678,93,413,6075,112,110,132,152,0,0,9,0,3,19055,1,543,19599,27265,
31,YUCATAN,53,MUNA,7,16,2561,1070,149,21,147,707,2404,39,116,63,15,0,0,5,0,0,7297,2,168,7467,10173,
31,YUCATAN,54,MUXUPIP,3,5,766,64,1,397,3,10,784,3,9,96,7,0,0,0,0,0,2140,2,39,2181,2442,
31,YUCATAN,55,OPICHEN,3,8,2086,72,12,13,10,30,2048,11,24,5,8,0,0,4,0,0,4323,,65,4388,5143,
31,YUCATAN,56,OXKUTZCAB,16,40,1081,6047,4838,284,486,880,1412,26,21,94,293,0,162,0,0,0,15624,0,396,16020,23560,
31,YUCATAN,57,PANABA,6,11,2385,1929,10,9,6,70,697,5,5,35,10,0,0,0,0,0,5161,0,65,5226,5986,
31,YUCATAN,58,PETO,17,30,3073,2746,104,3054,89,62,3438,58,52,115,61,0,12,0,0,0,12864,1,414,13279,17413,
31,YUCATAN,59,PROGRESO,30,75,10057,4800,95,221,153,860,6822,3046,199,246,150,0,0,10,0,4,26663,6,867,27536,46827,
31,YUCATAN,60,QUINTANA ROO,1,2,349,160,2,8,1,258,137,2,0,0,1,0,0,1,0,0,919,0,0,919,1035,
31,YUCATAN,61,RIO LAGARTOS,3,6,863,635,9,4,269,13,725,4,8,6,2,0,0,0,0,0,2538,0,58,2596,3041,
31,YUCATAN,62,SACALUM,3,6,593,128,512,28,598,635,687,37,5,23,8,0,0,1,0,0,3255,,96,3351,3846,
31,YUCATAN,63,SAMAHIL,3,8,432,768,656,717,150,239,632,86,17,6,5,0,0,0,0,0,3708,0,69,3777,4275,
31,YUCATAN,64,SANAHCAT,1,2,574,551,2,14,0,19,178,3,1,1,0,0,0,0,0,0,1343,1,23,1777,1444,
31,YUCATAN,65,SAN FELIPE,2,4,348,858,2,1,1,8,517,4,5,3,6,0,0,0,0,0,1753,0,6,1349,2007,
31,YUCATAN,66,SANTA ELENA,3,6,1214,1102,37,4,6,11,343,7,1,5,0,0,0,1,0,0,2731,,31,2762,3234,
31,YUCATAN,67,SEYE,5,13,1287,205,1594,86,32,247,1320,948,123,377,27,0,0,0,0,0,6246,1,132,6379,7717,
31,YUCATAN,68,SINANCHE,3,5,972,738,5,3,7,9,636,5,4,17,2,0,0,1,0,0,2399,0,56,2455,2717,
31,YUCATAN,69,SOTUTA,7,11,681,830,89,2616,14,45,637,5,8,1,108,0,0,1,0,0,5035,0,67,5102,6340,
31,YUCATAN,70,SUCILA,2,5,1090,783,6,2,3,32,766,5,22,1,13,0,0,0,0,0,2723,1,28,2752,3208,
31,YUCATAN,71,SUDZAL,2,3,460,599,5,30,0,6,391,0,3,0,1,0,0,0,0,0,1495,0,30,1525,1655,
31,YUCATAN,72,SUMA,2,4,304,520,8,15,15,22,286,2,4,27,233,0,0,1,0,0,1437,0,58,1495,1777,
31,YUCATAN,73,TAHDZIU,1,5,554,1532,906,20,2,1,65,0,0,0,1,0,10,0,0,0,3091,0,19,3110,3294,
31,YUCATAN,74,TAHMEK,2,5,1064,81,595,16,2,101,872,1,13,73,1,0,0,0,0,0,2819,0,42,2861,3200,
31,YUCATAN,75,TEABO,2,7,2199,1727,23,33,7,44,192,2,4,3,4,0,0,0,0,0,4238,0,36,4274,4955,
31,YUCATAN,76,TECOH,10,22,2865,3199,47,2393,40,377,1598,39,25,12,19,0,0,5,0,0,10619,1,93,10713,12966,
31,YUCATAN,77,TEKAL DE VENEGAS,2,4,1170,96,5,276,2,8,209,3,2,77,5,0,0,1,0,0,1854,0,42,1896,2386,
31,YUCATAN,78,TEKANTO,6,8,1176,952,6,3,3,8,616,8,8,36,3,0,0,4,0,0,2823,0,46,2869,3258,
31,YUCATAN,79,TEKAX,20,54,8234,4291,2162,761,1285,450,2880,297,53,599,415,0,310,0,0,0,21737,5,557,22299,31424,
31,YUCATAN,80,TEKIT,4,13,3366,323,30,68,220,28,3051,18,45,9,15,0,0,4,0,0,7177,89,29,7295,8127,
31,YUCATAN,81,TEKOM,4,6,997,1380,5,6,4,10,190,11,1,4,6,0,0,67,0,0,2681,0,15,2696,2869,
31,YUCATAN,82,TELCHAC PUEBLO,4,6,538,1121,16,44,6,96,549,7,7,6,19,0,0,0,0,0,2409,0,78,2487,2990,
31,YUCATAN,83,TELCHAC PUERTO,2,4,480,633,5,7,48,70,381,6,4,7,7,0,0,0,0,0,1648,0,58,1706,2005,
31,YUCATAN,84,TEMAX,6,11,2520,508,30,10,96,70,1095,15,9,19,7,0,0,1,0,0,4380,0,141,4521,5577,
31,YUCATAN,85,TEMOZON,8,20,769,177,35,36,267,51,5224,30,138,18,3497,0,0,0,0,0,10242,0,105,10347,11810,
31,YUCATAN,86,TEPAKAN,3,4,281,43,661,203,4,349,183,2,4,19,16,0,0,0,0,0,1765,4,37,1806,2063,
31,YUCATAN,87,TETIZ,2,7,519,903,48,13,1036,121,514,93,8,5,8,0,0,0,0,0,3268,1,57,3326,3921,
31,YUCATAN,88,TEYA,2,3,713,422,9,5,4,12,237,2,1,34,5,0,0,0,0,0,1444,0,24,1468,1690,
31,YUCATAN,89,TICUL,16,49,6653,1857,1417,290,107,174,6370,300,54,546,87,0,0,15,0,0,17870,6,438,18314,29508,
31,YUCATAN,90,TIMUCUY,3,10,1737,1768,110,35,17,861,441,10,11,35,7,0,0,0,0,0,5032,6,53,5091,5626,
31,YUCATAN,91,TINUM,7,16,2988,2105,42,101,76,16,1773,17,29,4,192,0,0,2,0,0,7345,1,98,7444,8875,
31,YUCATAN,92,TIXCACALCUPUL,4,8,1582,2109,13,22,14,21,546,88,10,6,9,0,0,2,0,0,4422,0,31,4453,5049,
31,YUCATAN,93,TIXKOKOB,10,23,1660,2640,35,982,54,134,2785,33,37,391,1750,0,0,59,0,0,10560,2,284,10846,14079,
31,YUCATAN,94,TIXMEHUAC,4,7,181,1833,1029,51,3,3,84,2,2,4,528,0,2,0,0,0,3722,0,14,3736,4101,
31,YUCATAN,95,TIXPEHUAL,6,9,970,418,462,98,13,286,1399,13,9,97,14,0,0,0,0,0,3779,1,91,3871,4508,
31,YUCATAN,96,TIZIMIN,41,98,17503,10519,167,104,196,505,7797,362,105,177,165,0,0,0,0,0,37600,2,799,38401,56758,
31,YUCATAN,97,TUNKAS,4,7,1776,83,3,2,4,468,762,3,11,21,7,0,0,0,0,0,3140,0,30,3170,2971,
31,YUCATAN,98,TZUCACAB,8,17,1713,1415,816,139,2506,142,1116,11,17,552,22,0,8,0,0,0,8457,1,93,8551,10717,
31,YUCATAN,99,UAYMA,3,5,211,647,291,21,1,4,475,4,6,0,4,0,0,0,0,0,1664,0,3,1667,3106,
31,YUCATAN,100,UCU,2,5,784,210,12,700,32,146,417,40,1,60,37,0,0,27,0,0,2466,0,77,2543,3065,
31,YUCATAN,101,UMAN,20,72,6194,3543,256,397,904,4826,7420,639,285,397,117,0,0,13,0,0,24991,6,710,25707,44841,
31,YUCATAN,102,VALLADOLID,33,93,9710,6768,151,999,1086,1047,10614,991,432,196,3033,0,0,482,0,133,35642,38,734,36414,57257,
31,YUCATAN,103,XOCCHEL,2,5,871,345,768,50,13,24,282,4,2,2,2,0,0,1,0,0,2364,0,16,2380,2752,
31,YUCATAN,104,YAXCABA,11,20,3835,3461,381,202,23,12,514,207,10,10,7,0,0,174,0,0,8836,6,73,8915,11137,
31,YUCATAN,105,YAXKUKUL,1,4,118,65,6,216,50,52,275,131,3,3,210,0,0,0,0,0,1129,1,32,1162,2707,
31,YUCATAN,106,YOBAIN,3,4,215,50,2,96,4,79,432,475,5,170,298,0,0,2,0,0,1828,0,44,1872,2118,
