Año,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion,Coalición
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PAN,8036,24551,19,1041,25611,46287,8036,No
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PRI,6505,24551,19,1041,25611,46287,6505,No
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PRD,951,24551,19,1041,25611,46287,951,No
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PT,549,24551,19,1041,25611,46287,549,No
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PVEM,1762,24551,19,1041,25611,46287,1762,No
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,MC,1778,24551,19,1041,25611,46287,1778,No
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,NUAL,1427,24551,19,1041,25611,46287,1427,No
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,MORENA,1034,24551,19,1041,25611,46287,1034,No
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,ES,2277,24551,19,1041,25611,46287,2277,No
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PRI_PT_PVEM_NUAL,25,24551,19,1041,25611,46287,10268,Sí
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PRI_PT_PVEM,12,24551,19,1041,25611,46287,8828,Sí
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PRI_PT_NUAL,28,24551,19,1041,25611,46287,8509,Sí
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PRI_PVEM_NUAL,31,24551,19,1041,25611,46287,9725,Sí
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PT_PVEM_NUAL,2,24551,19,1041,25611,46287,3740,Sí
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PRI_PT,21,24551,19,1041,25611,46287,7075,Sí
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PRI_PVEM,40,24551,19,1041,25611,46287,8307,Sí
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PRI_NUAL,60,24551,19,1041,25611,46287,7992,Sí
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PT_PVEM,4,24551,19,1041,25611,46287,2315,Sí
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PT_NUAL,0,24551,19,1041,25611,46287,1976,Sí
2016,1,AGUASCALIENTES,1,RINCON DE ROMOS,PVEM_NUAL,9,24551,19,1041,25611,46287,3198,Sí
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PAN,13296,27524,71,1141,28736,54026,13296,No
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PRI,6255,27524,71,1141,28736,54026,6255,No
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PRD,881,27524,71,1141,28736,54026,881,No
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PT,208,27524,71,1141,28736,54026,208,No
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PVEM,523,27524,71,1141,28736,54026,523,No
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,MC,553,27524,71,1141,28736,54026,553,No
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,NUAL,1554,27524,71,1141,28736,54026,1554,No
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,MORENA,1438,27524,71,1141,28736,54026,1438,No
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,ES,556,27524,71,1141,28736,54026,556,No
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PRI_PT_PVEM_NUAL,28,27524,71,1141,28736,54026,8568,Sí
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PRI_PT_PVEM,4,27524,71,1141,28736,54026,6990,Sí
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PRI_PT_NUAL,4,27524,71,1141,28736,54026,8021,Sí
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PRI_PVEM_NUAL,26,27524,71,1141,28736,54026,8358,Sí
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PT_PVEM_NUAL,7,27524,71,1141,28736,54026,2292,Sí
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PRI_PT,15,27524,71,1141,28736,54026,6478,Sí
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PRI_PVEM,18,27524,71,1141,28736,54026,6796,Sí
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PRI_NUAL,49,27524,71,1141,28736,54026,7858,Sí
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PT_PVEM,4,27524,71,1141,28736,54026,735,Sí
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PT_NUAL,1,27524,71,1141,28736,54026,1763,Sí
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,PVEM_NUAL,10,27524,71,1141,28736,54026,2087,Sí
2016,1,AGUASCALIENTES,10,AGUASCALIENTES,Candidatura Independiente,2094,27524,71,1141,28736,54026,2094,No
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PAN,14188,29859,101,1471,31431,57291,14188,No
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PRI,7663,29859,101,1471,31431,57291,7663,No
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PRD,1413,29859,101,1471,31431,57291,1413,No
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PT,275,29859,101,1471,31431,57291,275,No
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PVEM,760,29859,101,1471,31431,57291,760,No
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,MC,756,29859,101,1471,31431,57291,756,No
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,NUAL,1625,29859,101,1471,31431,57291,1625,No
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,MORENA,2044,29859,101,1471,31431,57291,2044,No
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,ES,958,29859,101,1471,31431,57291,958,No
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PRI_PT_PVEM_NUAL,53,29859,101,1471,31431,57291,10376,Sí
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PRI_PT_PVEM,7,29859,101,1471,31431,57291,8705,Sí
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PRI_PT_NUAL,15,29859,101,1471,31431,57291,9578,Sí
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PRI_PVEM_NUAL,21,29859,101,1471,31431,57291,10069,Sí
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PT_PVEM_NUAL,2,29859,101,1471,31431,57291,2662,Sí
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PRI_PT,8,29859,101,1471,31431,57291,7946,Sí
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PRI_PVEM,30,29859,101,1471,31431,57291,8453,Sí
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PRI_NUAL,34,29859,101,1471,31431,57291,9322,Sí
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PT_PVEM,0,29859,101,1471,31431,57291,1035,Sí
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PT_NUAL,1,29859,101,1471,31431,57291,1901,Sí
2016,1,AGUASCALIENTES,11,AGUASCALIENTES,PVEM_NUAL,6,29859,101,1471,31431,57291,2391,Sí
2016,1,AGUASCALIENTES,12,AGUASCALIENTES,PAN,5996,16607,29,554,17190,44877,5996,No
2016,1,AGUASCALIENTES,12,AGUASCALIENTES,PRI,6592,16607,29,554,17190,44877,6592,No
2016,1,AGUASCALIENTES,12,AGUASCALIENTES,PRD,1179,16607,29,554,17190,44877,1179,No
2016,1,AGUASCALIENTES,12,AGUASCALIENTES,PT,312,16607,29,554,17190,44877,312,No
2016,1,AGUASCALIENTES,12,AGUASCALIENTES,PVEM,449,16607,29,554,17190,44877,449,No
2016,1,AGUASCALIENTES,12,AGUASCALIENTES,MC,591,16607,29,554,17190,44877,591,No
