Año,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,Coalición
2023,5,COAHUILA,10,FRONTERA,PAN,2158,34089,7,513,34609,62693,No
2023,5,COAHUILA,10,FRONTERA,PRI,13763,34089,7,513,34609,62693,No
2023,5,COAHUILA,10,FRONTERA,PRD,408,34089,7,513,34609,62693,No
2023,5,COAHUILA,10,FRONTERA,PVEM,444,34089,7,513,34609,62693,No
2023,5,COAHUILA,10,FRONTERA,PT,5730,34089,7,513,34609,62693,No
2023,5,COAHUILA,10,FRONTERA,UDC,583,34089,7,513,34609,62693,No
2023,5,COAHUILA,10,FRONTERA,MC,317,34089,7,513,34609,62693,No
2023,5,COAHUILA,10,FRONTERA,MORENA,10251,34089,7,513,34609,62693,No
2023,5,COAHUILA,10,FRONTERA,PAN_PRI_PRD,177,34089,7,513,34609,62693,Sí
2023,5,COAHUILA,10,FRONTERA,PAN_PRI,199,34089,7,513,34609,62693,Sí
2023,5,COAHUILA,10,FRONTERA,PAN_PRD,6,34089,7,513,34609,62693,Sí
2023,5,COAHUILA,10,FRONTERA,PRI_PRD,19,34089,7,513,34609,62693,Sí
2023,5,COAHUILA,10,FRONTERA,PVEM_UDC,34,34089,7,513,34609,62693,Sí
2023,5,COAHUILA,14,JIMENEZ,PAN,66,4616,5,176,4797,8633,No
2023,5,COAHUILA,14,JIMENEZ,PRI,1770,4616,5,176,4797,8633,No
2023,5,COAHUILA,14,JIMENEZ,PRD,109,4616,5,176,4797,8633,No
2023,5,COAHUILA,14,JIMENEZ,PVEM,98,4616,5,176,4797,8633,No
2023,5,COAHUILA,14,JIMENEZ,PT,258,4616,5,176,4797,8633,No
2023,5,COAHUILA,14,JIMENEZ,UDC,882,4616,5,176,4797,8633,No
2023,5,COAHUILA,14,JIMENEZ,MC,34,4616,5,176,4797,8633,No
2023,5,COAHUILA,14,JIMENEZ,MORENA,1244,4616,5,176,4797,8633,No
2023,5,COAHUILA,14,JIMENEZ,PAN_PRI_PRD,124,4616,5,176,4797,8633,Sí
2023,5,COAHUILA,14,JIMENEZ,PAN_PRI,17,4616,5,176,4797,8633,Sí
2023,5,COAHUILA,14,JIMENEZ,PAN_PRD,2,4616,5,176,4797,8633,Sí
2023,5,COAHUILA,14,JIMENEZ,PRI_PRD,2,4616,5,176,4797,8633,Sí
2023,5,COAHUILA,14,JIMENEZ,PVEM_UDC,10,4616,5,176,4797,8633,Sí
2023,5,COAHUILA,17,MATAMOROS,PAN,812,57453,9,1655,59117,86541,No
2023,5,COAHUILA,17,MATAMOROS,PRI,26872,57453,9,1655,59117,86541,No
2023,5,COAHUILA,17,MATAMOROS,PRD,2461,57453,9,1655,59117,86541,No
2023,5,COAHUILA,17,MATAMOROS,PVEM,1740,57453,9,1655,59117,86541,No
2023,5,COAHUILA,17,MATAMOROS,PT,5176,57453,9,1655,59117,86541,No
2023,5,COAHUILA,17,MATAMOROS,UDC,1090,57453,9,1655,59117,86541,No
2023,5,COAHUILA,17,MATAMOROS,MC,1185,57453,9,1655,59117,86541,No
2023,5,COAHUILA,17,MATAMOROS,MORENA,17720,57453,9,1655,59117,86541,No
2023,5,COAHUILA,17,MATAMOROS,PAN_PRI_PRD,164,57453,9,1655,59117,86541,Sí
2023,5,COAHUILA,17,MATAMOROS,PAN_PRI,145,57453,9,1655,59117,86541,Sí
2023,5,COAHUILA,17,MATAMOROS,PAN_PRD,7,57453,9,1655,59117,86541,Sí
2023,5,COAHUILA,17,MATAMOROS,PRI_PRD,62,57453,9,1655,59117,86541,Sí
2023,5,COAHUILA,17,MATAMOROS,PVEM_UDC,19,57453,9,1655,59117,86541,Sí
2023,5,COAHUILA,18,MONCLOVA,PAN,13052,97775,29,2417,100221,178486,No
2023,5,COAHUILA,18,MONCLOVA,PRI,33018,97775,29,2417,100221,178486,No
2023,5,COAHUILA,18,MONCLOVA,PRD,1254,97775,29,2417,100221,178486,No
2023,5,COAHUILA,18,MONCLOVA,PVEM,5333,97775,29,2417,100221,178486,No
2023,5,COAHUILA,18,MONCLOVA,PT,11879,97775,29,2417,100221,178486,No
2023,5,COAHUILA,18,MONCLOVA,UDC,2012,97775,29,2417,100221,178486,No
2023,5,COAHUILA,18,MONCLOVA,MC,2306,97775,29,2417,100221,178486,No
2023,5,COAHUILA,18,MONCLOVA,MORENA,27488,97775,29,2417,100221,178486,No
2023,5,COAHUILA,18,MONCLOVA,PAN_PRI_PRD,532,97775,29,2417,100221,178486,Sí
2023,5,COAHUILA,18,MONCLOVA,PAN_PRI,746,97775,29,2417,100221,178486,Sí
2023,5,COAHUILA,18,MONCLOVA,PAN_PRD,32,97775,29,2417,100221,178486,Sí
2023,5,COAHUILA,18,MONCLOVA,PRI_PRD,49,97775,29,2417,100221,178486,Sí
2023,5,COAHUILA,18,MONCLOVA,PVEM_UDC,74,97775,29,2417,100221,178486,Sí
2023,5,COAHUILA,19,MORELOS,PAN,115,3698,2,79,3779,7182,No
2023,5,COAHUILA,19,MORELOS,PRI,1690,3698,2,79,3779,7182,No
2023,5,COAHUILA,19,MORELOS,PRD,47,3698,2,79,3779,7182,No
2023,5,COAHUILA,19,MORELOS,PVEM,28,3698,2,79,3779,7182,No
2023,5,COAHUILA,19,MORELOS,PT,765,3698,2,79,3779,7182,No
2023,5,COAHUILA,19,MORELOS,UDC,46,3698,2,79,3779,7182,No
2023,5,COAHUILA,19,MORELOS,MC,39,3698,2,79,3779,7182,No
2023,5,COAHUILA,19,MORELOS,MORENA,918,3698,2,79,3779,7182,No
2023,5,COAHUILA,19,MORELOS,PAN_PRI_PRD,25,3698,2,79,3779,7182,Sí
2023,5,COAHUILA,19,MORELOS,PAN_PRI,22,3698,2,79,3779,7182,Sí
2023,5,COAHUILA,19,MORELOS,PRI_PRD,3,3698,2,79,3779,7182,Sí
2023,5,COAHUILA,20,MUZQUIZ,PAN,754,28549,4,884,29437,55716,No
2023,5,COAHUILA,20,MUZQUIZ,PRI,12612,28549,4,884,29437,55716,No
2023,5,COAHUILA,20,MUZQUIZ,PRD,1101,28549,4,884,29437,55716,No
2023,5,COAHUILA,20,MUZQUIZ,PVEM,209,28549,4,884,29437,55716,No
2023,5,COAHUILA,20,MUZQUIZ,PT,6800,28549,4,884,29437,55716,No
2023,5,COAHUILA,20,MUZQUIZ,UDC,330,28549,4,884,29437,55716,No
2023,5,COAHUILA,20,MUZQUIZ,MC,625,28549,4,884,29437,55716,No
2023,5,COAHUILA,20,MUZQUIZ,MORENA,5855,28549,4,884,29437,55716,No
2023,5,COAHUILA,20,MUZQUIZ,PAN_PRI_PRD,100,28549,4,884,29437,55716,Sí
2023,5,COAHUILA,20,MUZQUIZ,PAN_PRI,121,28549,4,884,29437,55716,Sí
